cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.77
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.62
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0,41.54
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.8
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.85
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28.0,27.68
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56.0,31.54
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100.0,56.81
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,48.67
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.44
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28.0,28.63
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.2
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,15.42
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28.0,39.44
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.58
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0,7.84
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3.0,10.03
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56.0,42.7
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.59
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.18
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3.0,30.45
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28.0,17.96
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28.0,31.27
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28.0,16.5
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.05
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7.0,25.42
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.34
